,molecule_chembl_id,IC50,pIC50,units,smiles
0,CHEMBL84808,5000.0,5.301029995663981,nM,Nc1ccc2c(c1)C(=O)/C(=C/c1cc(Cl)c(O)c(Cl)c1)C2=O
1,CHEMBL84807,8000.0,5.096910013008056,nM,Nc1ccc2c(c1)C(=O)/C(=C/c1cc(Br)c(O)c(Br)c1)C2=O
2,CHEMBL82560,10000.0,5.0,nM,COc1ccc2c(c1)C(=O)/C(=C/c1cc(Br)c(O)c(Br)c1)C2=O
3,CHEMBL53856,11680.0,4.932557157223619,nM,Cn1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)c2ccccc21
4,CHEMBL97026,100000.0,4.0,nM,NCCNC1=C(c2cc3ccccc3[nH]2)C(=O)NC1=O
5,CHEMBL327291,300000.0,3.5228787452803374,nM,NCCCCCNC1=C(c2cc3ccccc3[nH]2)C(=O)NC1=O
6,CHEMBL329274,2000.0,5.698970004336019,nM,O=C1NC(=O)C(n2ccc3ccccc32)=C1n1ccc2ccccc21
7,CHEMBL545295,120.0,6.920818753952375,nM,CNCCCn1c2ccccc2c2c3c(c4c5ccccc5[nH]c4c21)C(=O)NC3=O.I
8,CHEMBL126922,14650.0,4.834162375309872,nM,O=C1NC(=O)C(c2cn(CCCO)c3ccccc23)=C1c1c[nH]c2ccccc12
9,CHEMBL124072,2200.0,5.657577319177793,nM,CN(C)CCCn1c2ccccc2c2c3c(c4c5ccccc5[nH]c4c21)C(=O)NC3=O
10,CHEMBL99572,210000.0,3.6777807052660805,nM,NC(N)=NCCCC(N)C(=O)NCCNCCCCCNC1=C(c2cc3ccccc3[nH]2)C(=O)NC1=O
11,CHEMBL123777,3520.0,5.453457336521868,nM,CNCCCn1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)c2ccccc21
12,CHEMBL95737,390000.0,3.4089353929735005,nM,NCCCNCCCNC1=C(c2cc3ccccc3[nH]2)C(=O)NC1=O
13,CHEMBL318650,120000.0,3.920818753952375,nM,NC(Cc1ccccc1)C(=O)NCCNCCCCCNC1=C(c2cc3ccccc3[nH]2)C(=O)NC1=O
14,CHEMBL95812,390000.0,3.4089353929735005,nM,NC(CCC(=O)O)C(=O)NCCCCCNC1=C(c2cc3ccccc3[nH]2)C(=O)NC1=O
15,CHEMBL100102,50000.0,4.301029995663981,nM,NCCCCCCNC1=C(c2cc3ccccc3[nH]2)C(=O)NC1=O
16,CHEMBL124620,16200.0,4.790484985457369,nM,Cn1cc(C2=C(c3c[nH]c4cc(F)ccc34)C(=O)NC2=O)c2ccccc21
17,CHEMBL97796,310000.0,3.508638306165727,nM,NCCNCCNC1=C(c2cc3ccccc3[nH]2)C(=O)NC1=O
18,CHEMBL1233654,3000.0,5.522878745280337,nM,C[C@H]1CNCCN1S(=O)(=O)c1cccc2cnccc12
19,CHEMBL339948,810.0,6.0915149811213505,nM,Cn1c2ccccc2c2c3c(c4c5ccccc5n(CC(O)CO)c4c21)C(=O)NC3=O
20,CHEMBL97768,150000.0,3.8239087409443187,nM,NCCCCCCCNC1=C(c2cc3ccccc3[nH]2)C(=O)NC1=O
21,CHEMBL338448,2400.0,5.619788758288394,nM,CO[C@H]1[C@@H](N(C)C(=O)c2ccccc2)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
22,CHEMBL131715,2600.0,5.585026652029182,nM,CO[C@H]1[C@@H](N(C)C(=O)c2ccc(Cl)cc2)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
23,CHEMBL435809,10000.0,5.0,nM,CO[C@H]1[C@@H](N(C)C(=O)c2ccc(C(=O)O)cc2)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
24,CHEMBL131020,1000.0,6.0,nM,CO[C@H]1[C@@H](N(C)S(C)(=O)=O)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
25,CHEMBL131590,1500.0,5.823908740944319,nM,CO[C@H]1[C@@H](N(C)C(=O)c2ccccc2Cl)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
26,CHEMBL444337,3200.0,5.494850021680094,nM,COC(=O)CN(C)[C@H]1C[C@@H]2O[C@](C)([C@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
27,CHEMBL339799,1850.0,5.732828271596986,nM,CN[C@H]1C[C@@H]2O[C@](C)([C@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)N[C@H]4O
28,CHEMBL131426,1400.0,5.853871964321762,nM,CO[C@H]1[C@@H](N(C)CCC#N)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
29,CHEMBL434415,55.0,7.259637310505756,nM,CO[C@H]1[C@@H](N(C)c2ccccc2)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
30,CHEMBL338935,360.0,6.443697499232712,nM,CO[C@H]1[C@@H](N(C)C(=O)CN)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
31,CHEMBL335012,380.0,6.42021640338319,nM,CO[C@H]1[C@@H](N(C)C(=O)c2cccnc2)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
32,CHEMBL132348,140.0,6.853871964321762,nM,CO[C@H]1[C@@H](N(C)CC(=O)O)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4
